name, ring, quadrant, isNew, description
Lightweight approach to RFCs,	Adopt,	Techniques,	FALSE, A Request for Comments (RFC) is a formal document that includes context-dependent design and architectural ideas to facilitate team collaboration and decision-making.
ADRs to track design evolution,	Adopt,	Techniques,	FALSE, Use Architectural Decision Records to track design decisions
Provision monitors and alerts with Terraform,Assess,Techniques,TRUE,
Risk-based failure modeling,Assess,Techniques,TRUE, Risk-based failure modeling is a process used to understand the impact - likelihood and ability of detecting the various ways that a system can fail.  Delivery teams are starting to use this methodology to design and evaluate the controls needed to prevent these failures.
Tracking health over debt,Trial,Techniques,TRUE,
Unit testing for alerting rules,Trial,Techniques,TRUE,Observability and monitoring are essential for software teams. Given the unpredictable nature of certain events - creating accurate alert mechanisms with complex rules is crucial.
GitOps,Assess,Techniques,TRUE,
Tracking Monthly Cloud Spend,Trial,Techniques,FALSE,
Path-to-production mapping, Trial, Techniques, TRUE, The activity is most often done in a workshop with a cross-functional group of people — that includes everyone involved in designing/developing/releasing and operating the software — around a shared whiteboard (or virtual equivalent).

Oracle DB,	Adopt,	Platforms,	FALSE, Oracle Database (commonly referred to as Oracle DBMS Oracle Autonomous Database or simply as Oracle) is a proprietary multi-model database management system produced and marketed by Oracle Corporation.
Open Policy Agent,Assess,Platforms,TRUE,
Azure Container Apps,Assess,Platforms,TRUE,
Oracle Container Apps, Assess,Platforms,TRUE,
APEX, Assess,Platforms, TRUE,
Magic Info xpa, Assess,Platforms,TRUE,

Mermaid,Adopt,Tools,FALSE, Mermaid lets you generate diagrams from a Markdown-like markup language.
Ruff,Adopt,Tools,FALSE,
Snyk,Adopt,Tools,FALSE,
AWS Control Tower,Trial,Tools,FALSE,
Bloc,Trial,Tools,TRUE,
cdk-nag,Trial,Tools,TRUE,
Checkov,Trial,Tools,TRUE,
Chromatic,Trial,Tools,TRUE,
Cilium,Trial,Tools,FALSE,
Cloud Carbon Footprint,Trial,Tools,FALSE,
Container Structure Tests,Trial,Tools,TRUE,
Devbox,Trial,Tools,FALSE,
DX DevEx 360,Trial,Tools,TRUE,
GitHub Copilot,Trial,Tools,FALSE,
Insomnia,Trial,Tools,TRUE,
IntelliJ HTTP Client plugin,Trial,Tools,TRUE,
KEDA,Trial,Tools,TRUE,
Kubeconform,Trial,Tools,TRUE,
mob,Trial,Tools,FALSE,
MobSF,Trial,Tools,TRUE,
Mocks Server,Trial,Tools,TRUE,
Prisma runtime defense,Trial,Tools,TRUE,
Terratest,Trial,Tools,FALSE,
Thanos,Trial,Tools,TRUE,
Yalc,Trial,Tools,TRUE,
ChatGPT,Assess,Tools,FALSE,
Codeium,Assess,Tools,TRUE,
GitHub merge queue,Assess,Tools,TRUE,
Google Bard,Assess,Tools,TRUE,
Google Cloud Workstations,Assess,Tools,TRUE,
Gradio,Assess,Tools,TRUE,
KWOK,Assess,Tools,TRUE,
Llama 2,Assess,Tools,TRUE,
Maestro,Assess,Tools,TRUE,
Open-source LLMs for coding,Assess,Tools,TRUE,
OpenCost,Assess,Tools,TRUE,
OpenRewrite,Assess,Tools,TRUE,
OrbStack,Assess,Tools,TRUE,
Pixie,Assess,Tools,TRUE,
Tabnine,Assess,Tools,TRUE,
Playwright,Adopt,languages-and-frameworks,FALSE,
.NET Minimal API,Trial,languages-and-frameworks,TRUE,
Ajv,Trial,languages-and-frameworks,TRUE,
Armeria,Trial,languages-and-frameworks,TRUE,
AWS SAM,Trial,languages-and-frameworks,TRUE,
Dart,Trial,languages-and-frameworks,FALSE,
fast-check,Trial,languages-and-frameworks,TRUE,
Kotlin with Spring,Trial,languages-and-frameworks,TRUE,
Mockery,Trial,languages-and-frameworks,TRUE,
Netflix DGS,Trial,languages-and-frameworks,TRUE,
OpenTelemetry,Trial,languages-and-frameworks,FALSE,
Polars,Trial,languages-and-frameworks,FALSE,
Pushpin,Trial,languages-and-frameworks,TRUE,
Snowpark,Trial,languages-and-frameworks,TRUE,
Baseline Profiles,Assess,languages-and-frameworks,TRUE,
GGML,Assess,languages-and-frameworks,TRUE,
GPTCache,Assess,languages-and-frameworks,TRUE,
Grammatical Inflection API,Assess,languages-and-frameworks,TRUE,
htmx,Assess,languages-and-frameworks,TRUE,
Kotlin Kover,Assess,languages-and-frameworks,TRUE,
LangChain,Assess,languages-and-frameworks,FALSE,
LlamaIndex,Assess,languages-and-frameworks,TRUE,
promptfoo,Assess,languages-and-frameworks,TRUE,
Semantic Kernel,Assess,languages-and-frameworks,TRUE,
Spring Modulith,Assess,languages-and-frameworks,TRUE,
